,0
SEDG.1,0
SEE.1,0
SHW.1,0
SJM.1,5
SLB.1,0
SNA.1,0
SNPS.1,0
SO.1,0
SPG.1,0
SPGI.1,0
SRE.1,0
STE.1,0
STLD.1,1
STT.1,0
STX.1,0
STZ.1,0
SWK.1,0
SWKS.1,0
SYF.1,0
SYK.1,0
SYY.1,0
T.1,0
TAP.1,0
TDG.1,0
TDY.1,0
TECH.1,0
TEL.1,0
TER.1,0
TFC.1,0
TFX.1,0
TGT.1,0
TJX.1,0
TMO.1,0
TMUS.1,0
TPR.1,0
TRGP.1,0
TRMB.1,1
TROW.1,1
TRV.1,0
TSCO.1,0
TSLA.1,0
TSN.1,0
TT.1,0
TTWO.1,0
TXN.1,0
TXT.1,0
TYL.1,0
UAL.1,0
UDR.1,0
UHS.1,0
ULTA.1,0
UNH.1,1
UNP.1,0
UPS.1,0
URI.1,0
USB.1,0
V.1,0
VFC.1,0
VICI.1,0
VLO.1,0
VLTO.1,0
VMC.1,0
VRSK.1,0
VRSN.1,0
VRTX.1,0
VTR.1,0
VTRS.1,0
VZ.1,0
WAB.1,0
WAT.1,0
WBA.1,0
WBD.1,0
WDC.1,0
WEC.1,0
WELL.1,0
WFC.1,0
WHR.1,0
WM.1,0
WMB.1,0
WMT.1,0
WRB.1,0
WRK.1,0
WST.1,0
WTW.1,0
WY.1,0
WYNN.1,0
XEL.1,0
XOM.1,0
XRAY.1,0
XYL.1,0
YUM.1,1
ZBH.1,0
ZBRA.1,0
ZION.1,0
ZTS.1,0
A.2,0
AAL.2,0
AAPL.2,0
ABBV.2,0
ABNB.2,0
ABT.2,0
ACGL.2,0
ACN.2,0
ADBE.2,0
ADI.2,0
ADM.2,0
ADP.2,0
ADSK.2,0
AEE.2,0
AEP.2,0
AES.2,0
AFL.2,0
AIG.2,0
AIZ.2,0
AJG.2,0
AKAM.2,0
ALB.2,0
ALGN.2,0
ALK.2,0
ALL.2,0
ALLE.2,0
AMAT.2,0
AMCR.2,0
AMD.2,0
AME.2,0
AMGN.2,0
AMP.2,0
AMT.2,0
AMZN.2,0
ANET.2,0
ANSS.2,0
AON.2,1
AOS.2,0
APA.2,0
APD.2,0
APH.2,0
APTV.2,0
ARE.2,0
ATO.2,1
AVB.2,0
AVGO.2,0
AVY.2,0
AWK.2,2
AXON.2,0
AXP.2,0
AZO.2,0
BA.2,0
BAC.2,0
BALL.2,1
BAX.2,1
BBWI.2,0
BBY.2,0
BDX.2,0
BEN.2,1
BF.B.2,0
BG.2,0
BIIB.2,0
BIO.2,0
BK.2,0
BKNG.2,0
BKR.2,0
BLK.2,0
BMY.2,0
BR.2,0
BRK.B.2,0
BRO.2,0
BSX.2,0
BWA.2,0
BX.2,0
BXP.2,0
C.2,0
CAG.2,0
CAH.2,0
CARR.2,0
CAT.2,0
CB.2,0
CBOE.2,0
CBRE.2,0
CCI.2,0
CCL.2,0
CDAY.2,0
CDNS.2,0
CDW.2,0
CE.2,0
CEG.2,0
CF.2,0
CFG.2,0
CHD.2,0
CHRW.2,0
CHTR.2,0
CI.2,0
CINF.2,1
CL.2,0
CLX.2,1
CMA.2,0
CMCSA.2,0
CME.2,0
CMG.2,0
CMI.2,0
CMS.2,0
CNC.2,0
CNP.2,0
COF.2,0
COO.2,0
COP.2,0
COR.2,0
COST.2,0
CPB.2,0
CPRT.2,0
CPT.2,0
CRL.2,0
CRM.2,0
CSCO.2,0
CSGP.2,0
